Index,TripNumber,StartTime,EndTime,RouteNumber,DelaySeconds,FirstStopCode
0,1037,22:13,23:22,LW   ,255,UN
0,1039,23:13,00:22,LW   ,122,UN
0,1040,22:54,00:01,LW   ,101,AL
0,1737,22:47,00:09,LW   ,192,UN
0,1738,22:13,23:31,LW   ,255,WR
0,1987,22:40,01:01,LW   ,59,UN
0,1988,21:10,23:24,LW   ,187,NI
0,3935,21:34,23:21,GT   ,-225,UN
0,3937,22:34,00:01,GT   ,38,UN
0,9038,23:06,00:06,LE   ,60,UN
0,9041,23:07,00:08,LE   ,-6,OS
0,9236,22:36,23:36,LE   ,61,UN
0,9239,22:37,23:38,LE   ,74,OS
0,X3539,22:47,23:36,GT   ,139,UN
1,1021,14:14,15:22,LW   ,90,UN
1,1022,14:04,15:15,LW   ,90,AL
1,1024,15:04,16:15,LW   ,-1215,AL
1,1719,13:44,15:05,LW   ,62,UN
1,1720,13:23,14:45,LW   ,-202,WR
1,1721,14:44,16:05,LW   ,-13,UN
1,1722,14:23,15:45,LW   ,39,WR
1,1969,13:03,15:21,LW   ,-2,UN
1,3422,14:49,15:36,GT   ,-312,MO
1,3521,14:51,15:39,GT   ,-441,UN
1,6921,14:53,16:37,BR   ,-550,UN
1,6922,14:06,15:48,BR   ,29,AD
1,9020,14:20,15:20,LE   ,29,UN
1,9023,14:04,15:09,LE   ,-13,OS
1,9218,13:50,14:50,LE   ,47,UN
1,9220,14:50,15:50,LE   ,-372,UN
1,9223,14:34,15:39,LE   ,10,OS
2,1013,10:14,11:22,LW   ,70,UN
2,1014,10:04,11:15,LW   ,149,AL
2,1016,11:04,12:15,LW   ,-2252,AL
2,1711,09:44,11:05,LW   ,29,UN
2,1712,09:23,10:45,LW   ,-91,WR
2,1714,10:23,11:45,LW   ,46,WR
2,1961,09:03,11:24,LW   ,163,UN
2,3412,09:49,10:36,GT   ,-231,MO
2,3511,09:51,10:39,GT   ,43,UN
2,6909,08:53,10:37,BR   ,26,UN
2,9012,10:20,11:20,LE   ,26,UN
2,9015,10:04,11:09,LE   ,48,OS
2,9210,09:50,10:50,LE   ,-4,UN
2,9213,09:34,10:39,LE   ,33,OS
2,9215,10:34,11:39,LE   ,-453,OS
